entity	entity_type	github_script	zenodo_file	note
Figure S11	figure	scripts/12_submission_figures_tables/supplementary_figures_s9_s16.py	12_figure_source_data/Figure_S11_submission_SOURCE_DATA.tsv	Leave-one-donor-out influence analysis for Tier A events
Figure S12	figure	scripts/12_submission_figures_tables/supplementary_figures_s9_s16.py	12_figure_source_data/Figure_S12_submission_SOURCE_DATA.tsv	Cell-composition estimates and composition-adjusted (M4C) sensitivity
Figure S13	figure	scripts/12_submission_figures_tables/supplementary_figures_s9_s16.py	12_figure_source_data/Figure_S13_SOURCE_DATA.tsv	Tier A model-adjusted transcript-usage differences on the probability scale
Figure S14	figure	scripts/12_submission_figures_tables/supplementary_figures_s9_s16.py	12_figure_source_data/Figure_S14_SOURCE_DATA.tsv	Neuron-merged cell-composition sensitivity
Figure S15	figure	scripts/12_submission_figures_tables/supplementary_figures_s9_s16.py	12_figure_source_data/Figure_S15_SOURCE_DATA_alphafold.tsv;12_figure_source_data/Figure_S15_SOURCE_DATA_features.tsv	Tier A microexon insertion sites in protein context
Figure S16	figure	scripts/12_submission_figures_tables/supplementary_figures_s9_s16.py	12_figure_source_data/Figure_S16_SOURCE_DATA.tsv	Evidence-layer combinations across the 19-event set
Table 1	table	scripts/12_submission_figures_tables/final_main_tables_1_2.py	13_tables/Table_1_TierA_model_stability.tsv	Main Table 1: Primary Tier A microexon events and model stability (4 rows)
Table 2	table	scripts/12_submission_figures_tables/final_main_tables_1_2.py	13_tables/Table_2_TierA_robustness_probability_protein.tsv	Main Table 2: Tier A robustness, probability-scale effects and protein context (4 rows)
Table S1	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py;scripts/12_submission_figures_tables/finalize_table_s1.py	13_tables/Supplementary_Table_S1.tsv	19-event evidence master
Table S2	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py	13_tables/Supplementary_Table_S2.tsv	M0-M4 event-level results
Table S3	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py	13_tables/Supplementary_Table_S3.tsv	D0-D3 transcript-definition sensitivity
Table S4	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py	13_tables/Supplementary_Table_S4.tsv	Tier A LODO (without donor identifiers)
Table S5	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py	13_tables/Supplementary_Table_S5_coverage_and_reference.tsv;13_tables/Supplementary_Table_S5_fraction_summary.tsv;13_tables/Supplementary_Table_S5_marker_validation.tsv;13_tables/Supplementary_Table_S5_loadings_and_variance.tsv	Composition: coverage/reference, aggregate fraction summary, marker validation, loadings/variance
Table S6	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py	13_tables/Supplementary_Table_S6_M4_vs_M4C.tsv;13_tables/Supplementary_Table_S6_TierA_exact_values.tsv;13_tables/Supplementary_Table_S6_TierA_M4C_LODO.tsv;13_tables/Supplementary_Table_S6_M4C_D0-D3_events.tsv;13_tables/Supplementary_Table_S6_M4C_D0-D3_set_summary.tsv	M4C composition-adjusted results (aggregate; without donor identifiers)
Table S7	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py	13_tables/Supplementary_Table_S7.tsv	Probability-scale adjusted usage
Table S8	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py	13_tables/Supplementary_Table_S8_coding_consequences.tsv;13_tables/Supplementary_Table_S8_protein_features.tsv;13_tables/Supplementary_Table_S8_uniprot_interpro_map.tsv;13_tables/Supplementary_Table_S8_alphafold_context.tsv	Tier A coding consequences and protein context
Table S9	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py	13_tables/Supplementary_Table_S9_neuron_merged_all_events.tsv;13_tables/Supplementary_Table_S9_neuron_merged_tierA_summary.tsv;13_tables/Supplementary_Table_S9_neuron_merged_vs_primary_M4C.tsv;13_tables/Supplementary_Table_S9_composition_PC_summary.tsv	Neuron-merged composition sensitivity
Table S10	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py	13_tables/Supplementary_Table_S10_D2_all_events.tsv;13_tables/Supplementary_Table_S10_D2_TierA_events.tsv	D2 transcript definitions
Table S11	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py	13_tables/Supplementary_Table_S11_ancestry_levels.tsv;13_tables/Supplementary_Table_S11_model_encoding.tsv;13_tables/Supplementary_Table_S11_metadata_comparison.tsv	Ancestry adjustment
Table S12	table	scripts/12_submission_figures_tables/prepare_supplementary_tables.py	13_tables/Supplementary_Table_S12A_direction.tsv;13_tables/Supplementary_Table_S12B_multiplicity.tsv;13_tables/Supplementary_Table_S12C_region.tsv;13_tables/Supplementary_Table_S12D_support.tsv;13_tables/Supplementary_Table_S12E_moderators.tsv;13_tables/Supplementary_Table_S12F_mapping.tsv	Additional sensitivity analyses of directional concordance, multiplicity, regional and demographic heterogeneity, donor de-duplication, transcript support, and perturbation-to-human event mapping.
